"","V1","V2","V3","V4","V5"
"output_list","filename","seperating_index","sensitivity_index","abs_seperating_index","abs_sensitivity_index"
"row_entry","CD4_BB515_!B515_30!.fcs","7.00489102797719","2131.24680939543","61.7610859396096","2519.24009755889"
